zip_code,station_count,mean_commute_time,median_income
90808,0.0,10.151,131535.0
90810,0.0,8.322,75152.0
90813,2.0,13.152,48535.0
90814,0.0,5.769,89776.0
90815,0.0,10.199,110565.0
90822,0.0,0.0,
90831,0.0,0.0,
91001,0.0,9.085,129030.0
91006,1.0,7.876,123358.0
91007,0.0,7.673,93128.0
91008,0.0,0.21,139167.0
91010,1.0,6.494,95172.0
91011,0.0,4.818,210532.0
91016,1.0,10.574,95606.0
91020,0.0,1.604,61771.0
91024,0.0,3.238,128056.0
91030,1.0,7.16,127882.0
91040,0.0,5.175,103823.0
91042,0.0,6.485,81324.0
91046,0.0,0.015,
91101,0.0,6.214,86631.0
91103,1.0,6.554,78513.0
91104,0.0,9.024,93856.0
91105,2.0,3.549,163253.0
91106,2.0,7.864,91220.0
91107,1.0,9.411,120822.0
91108,0.0,3.101,173312.0
91201,0.0,5.186,67102.0
91202,0.0,5.649,90232.0
91203,0.0,4.331,70650.0
91204,0.0,4.856,69102.0
91205,0.0,8.684,58290.0
91206,0.0,7.733,85651.0
91207,0.0,2.735,106984.0
91208,0.0,4.021,112485.0
91210,0.0,0.107,
91214,0.0,7.991,126175.0
91301,0.0,6.398,157582.0
91302,0.0,6.552,172651.0
91303,0.0,9.414,77437.0
91304,0.0,13.878,79673.0
91306,0.0,12.519,82380.0
91307,0.0,6.176,130877.0
91311,0.0,10.99,112172.0
91316,0.0,7.364,85354.0
91321,0.0,9.332,84503.0
91324,0.0,8.53,100086.0
91325,0.0,10.095,83853.0
91326,0.0,9.8,142170.0
91330,0.0,0.426,
91331,0.0,25.151,76942.0
91335,0.0,20.889,74632.0
91340,0.0,9.473,71664.0
91342,0.0,22.783,89264.0
91343,0.0,16.319,77790.0
91344,0.0,13.732,111897.0
91345,0.0,4.719,93622.0
91350,0.0,10.973,137626.0
91351,0.0,8.949,104214.0
91352,0.0,11.759,68132.0
91354,0.0,8.904,145442.0
91355,0.0,8.192,109752.0
91356,0.0,8.239,105513.0
91361,0.0,4.949,127304.0
91362,0.0,8.828,135998.0
91364,0.0,6.998,128306.0
91367,0.0,12.608,106355.0
91371,0.0,0.0,
91381,0.0,5.552,148873.0
91384,0.0,6.129,127416.0
91387,0.0,12.6,111090.0
91390,0.0,4.504,145465.0
91401,0.0,11.436,72476.0
91402,0.0,18.361,55130.0
91403,0.0,7.828,107970.0
91405,0.0,14.621,58365.0
91406,0.0,14.784,71819.0
91411,0.0,7.14,73669.0
91423,0.0,9.172,104205.0
91436,0.0,3.829,155346.0
91501,0.0,4.633,80198.0
91502,0.0,2.877,59711.0
91504,0.0,7.096,99318.0
91505,0.0,8.565,104361.0
91506,0.0,5.621,104009.0
91601,1.0,10.624,73735.0
91602,0.0,6.239,93210.0
91604,1.0,9.352,132494.0
91605,0.0,13.34,61031.0
91606,0.0,12.109,64976.0
91607,0.0,8.232,82995.0
91608,0.0,0.036,56898.0
91702,3.0,17.264,82382.0
91706,0.0,18.351,76348.0
91711,0.0,8.92,115079.0
91722,0.0,9.473,95157.0
91723,0.0,5.207,82018.0
91724,0.0,7.583,96720.0
91731,0.0,6.607,57047.0
91732,0.0,14.965,62047.0
91733,0.0,11.221,63883.0
91740,0.0,6.591,96433.0
91741,0.0,6.517,117252.0
91744,0.0,21.293,86290.0
91745,0.0,13.67,101427.0
91746,0.0,7.478,83634.0
91748,0.0,11.627,83610.0
91750,0.0,8.171,103774.0
91754,0.0,8.347,83490.0
91755,0.0,5.926,70459.0
91759,0.0,0.071,111071.0
